2026-02-03 20:35:52,523 | INFO | retail_lakehouse | Logging initialized
2026-02-03 20:35:52,523 | INFO | retail_lakehouse | Log file: D:\Python_Projects\RetailLakehouse\logs\pipeline_20260203_203552.log
2026-02-03 20:35:52,524 | INFO | retail_lakehouse | RetailLakehouse Pipeline Started

2026-02-03 20:35:52,807 | INFO | retail_lakehouse | Starting: extract_inventory_movements_to_parquet
2026-02-03 20:35:52,844 | INFO | retail_lakehouse | Completed: extract_inventory_movements_to_parquet

2026-02-03 20:35:52,867 | INFO | retail_lakehouse | Starting: extract_master_data
2026-02-03 20:35:52,921 | INFO | retail_lakehouse | Completed: extract_master_data

2026-02-03 20:35:52,932 | INFO | retail_lakehouse | Starting: extract_payment_to_parquet
2026-02-03 20:35:52,946 | INFO | retail_lakehouse | Completed: extract_payment_to_parquet

2026-02-03 20:35:52,955 | INFO | retail_lakehouse | Starting: extract_purchase_orders_to_parquet
2026-02-03 20:35:52,966 | INFO | retail_lakehouse | Completed: extract_purchase_orders_to_parquet

2026-02-03 20:35:52,976 | INFO | retail_lakehouse | Starting: extract_sales_return_to_parquet
2026-02-03 20:35:52,988 | INFO | retail_lakehouse | Completed: extract_sales_return_to_parquet

2026-02-03 20:35:52,998 | INFO | retail_lakehouse | Starting: extract_sales_transaction_to_parquet
2026-02-03 20:35:53,009 | INFO | retail_lakehouse | Completed: extract_sales_transaction_to_parquet

2026-02-03 20:35:53,009 | INFO | retail_lakehouse | Pipeline Finished Successfully!
